"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\main_commands\errors.py", "Python", 36, 0, 9, 19, 64
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\main_commands\help_commands.py", "Python", 83, 0, 1, 9, 93
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\main_commands\management.py", "Python", 85, 0, 112, 12, 209
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\main_commands\owner_only.py", "Python", 62, 0, 1, 10, 73
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\main_commands\profile.py", "Python", 139, 0, 8, 24, 171
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\main_commands\quests.py", "Python", 56, 0, 1, 8, 65
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\main_commands\secret.py", "Python", 43, 0, 1, 10, 54
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\helper.py", "Python", 498, 0, 33, 79, 610
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\main.py", "Python", 337, 0, 20, 39, 396
"Total", "-", 3895, 55, 232, 540, 4722
